شعاراتهم عنالمناصفة كذب، شعاراتهم عنالمشاركة كذب، شعاراتهم عنالميثاقية كذب! #سقط_القناع,لماذا المناصفة? هل هذه هي الديموقراطية? انتم تقبلون بنظام طائفي و عليكم أن تتحملوا تبعاته,neutral
إيران تتمزق من الداخل,وما أدراك يا هذا? لما هذه المبالغة? هذا بالضبط ما فعلتموه في سورية!,neutral
القمة المصرية العراقية الأردنية خطوة جيدة وحتى تكتمل مطلوب إنضمام سوريا ولبنان لها وإنشاء سوق مشتركة تفتح آفاقاً كبيرة لشعبنا في هذه المنطقة (الشام الجديدة) هذا هو المستقبل الإقتصادي فلا تترددوا في السعي وراءه.,انو انت يا حمار قال عم تحلل ...,negative
نفتالي بينيت الذي من المفروض ان يصبح رئيس حكومة العدو اذا لم تحدث اي مفاجآت يحمل هذه الصورة على موقع تويتر طالباً العون من الله... لهون مفهوم ... بس ليش ملزق ايدو بشارطيطيون ما بعرف 🤦🏻 المصيبة يطلع تلزيق الكهرباء عالايدين شي طقس ديني😂,هيدا اللي فالحين فيه... المسخرة طبعاً واضح انكم فاشلين حتى بمجتمعاتكم وبيئتكم... لو افترضنا طلع حدا وقال مثل الشيعة اللي بحطوا حجر وبيصلوا عليه,negative
توصياتكم مسلسل هادي فيه اجواء طبيعة ما في عنف ولا قتل ولا كوميدي ولا سياسة ولا مخدرات ولا science fiction وشكرا سلفا,فيكي تشيكي هدول كمان,neutral
من المؤسف حقاً ان يتحدث الرئيس بري عن عدم حق رئيس الجمهورية بالحصول على وزير واحد في الحكومة مبرراً ذلك بعدم مشاركته في التصويت,برو انت قايل هيك عن ميشال سليمان بس كان رئيس,neutral
صرلي ساعة عم بتحايل كرمال نام شوي ارتاح اول ما غفيت بيدق التلفون بتطلع عمتي😴: _شو نايمة وليي 🧐 _ايه عمتي شو بكي 🥺 _ليش نايمة ، مين بينام هيدا الوقت !! يا ريت فيني انا نام😡 _عمتي نايمة هيك تعبانة وطلع عبالي بكي شي?? _طيب يلا باي... _🙄 #انا_شو_عاملة_بحياتي_لهيك_حظي🥺🥺,منيح ما عندي عمات الله يعينك 😂😂 يسعدلي مساكي رورو ❤️❤️,positive
🔴الى كل اللبنانيين في دول الإنتشار: لا تصدّقوا أبواق عملاء السفارات والمخابرات الأجنبية من اعلاميين وناشطين ومشاهير... هم يتآمرون على لبنان المقيم والمغترب للإمعان في تدمير ما تبقى من هذا الوطن تنفيذا للمشروع الشيطاني الذي بدأ في #17_تشرين. لبنان بانتظاركم مثلما هو 🇱🇧 إنه لبنان.,والدولة دخلك مش عم تتآمر على المغترب?? لبنان بالقلب بس مش وقتها...خيرها بغيرها,neutral
سعد الحريري متمسّك بصلاحياتو بتشكيل الحكومة ونحنا متمسكين بصلاحياتنا بالتوقيع عا تشكيل الحكومة انت ضل متمسك ونحنا رح نضل متمسكين هلقد الخبرية، مش عاجبك فلّ,مش سعد بيقرر سعد بس بيقدر يتنفس من تلقاء ذاته غير هيك انسى,neutral
لكل حدا نازل ع لبنان وحامل شوق ولهفة ومحبة،يا ليت تعدي كتار ناس ساكنين هون وقلوبهم مليانة حقد وحسد وتحريض وتبعية عميا لكل حدا نازل بقلك توصل بالسلامة ورغم كل الظروف الصعبة وفساد اغلبية المسؤولين بيبقى لبنان اجمل الاوطان بناسو الطيبين وارضو المقدسة تعو ومطرحكن بقلبنا #نازل_ع_لبنان,هيدا حكي . اللبناني الاصيل. الله يدومك.,positive
فيما لبنان يتخبط بمشاكل عدة اقتصادية واجتماعية وسياسية وحتى أمنية، ما كان ينقصه الا زيارة اسماعيل هنية ليضيف إلى مشاكله مشكلة عويصة اسمها حماس الإرهابية المنتمية الى المصالح الإيرانية... هل الزيارة مفروضة? أم محاولة ملغومة?,والله ما حدا قاهركم قد ما قاهركم ان سنّي زار شيعي بهدف تدميركم . عندما يتخد المسلمين تنبح الكلاب المستفيدة من إفتراقهم .,negative
شو بتعملو لما تكونو جوعانين ?,يخي دخيلك احنا بس نزهق بنروح نوكل الأخضر واليابس بدك لما انجوع شو نعمل يعني 🤣🤣,positive
الرئيس عون أجرى اتصالاً بوزير الصحة وطلب إليه اتخاذ الإجراءات اللازمة لمعالجة الازدحام الشديد الذي يشهده مطار رفيق الحريري الدولي وذلك لإجراء فحوصات الـpcr وذلك من خلال زيادة أعداد الفرق الصحية التي يتولى أفرادها إجراء الفحوصات والاستعانة بفرق إضافية لتفادي إنتظار الواصلين,احلى رئيس بتاريخ لبنان ، الله يطول عمرك ويديم 🧡🧡عزك ،,positive
#فتاة_الحسكة قتلها ذووها بدم بارد قيل لرفضها الزواج بابن عمها! هل سمعتم يوماً في العالم العربي بقتل شاب لأنه رفض الزواج?! لم نسمع لأن المشكلة هي في نظرة الاستضعاف لوجود المرأة المحكوم عليها في بعض المجتمعات أن تكون رهينة مزاج الجاهلية الأولى التي عادت بيد العنصريين القتلة كهؤلاء!,ذكرتيني بالضرب اللي اكلته سنين في مرحلة المدرسه لاتزوج شاب من العائله وبعد معاناة ما يقارب تلات سنين من الضرب والشتم والإهانة والقصاص،لم اتزوجه لكن بقيت آثار المعامله السيئه في ذاكرتي و احمد الله انني لم انجب بنات في مجتمع متخلف ظالم بهالشكل !طبعاً هذا الحمد نيته تقدير الفتاة.,neutral
موفق مطر عضو المجلس الثوري لحركة فتح : ما شهدناه في القدس والداخل وما نشهده في بلدة بيتا هو استجابة لنداء قائد الشعب الفلسطيني ويعبر عن فهم عميق للجمهور الفلسطيني لنداءات الرئيس,طب اقسم بالله لو عبسي عمل نداء كان حطيت راسي ونمت او كان صرت انشر +18,no_ref
مباشرة من جرود كسروان شوفو الإجرام بحق الطبيعة...أعمال بعض الاقطاعيين والنافذين يلي بيدّعوا العفّة...لو سمحتوا retweet من أجل التوعية,خلّيك بهالهمّة .👌,positive
وليد جنبلاط دخل فعليًا مسار التحوّل السياسي نحو ما يعتقد أنّه المحور المنتصر. أتى إلى خلدة وسيذهب يومًا ما إلى دمشق، فلماذا الآن?,انت بكل قواك العقلية،عن اي منتصر عم تحكي ونحن صرنا بالحضيص، ليش رح يبقى مين يخبر بها البلد، عنجد انكن مجتمع معتوه، البلد انتهى وانهار نهائيا، وبعد بتحكي بمنتصر، منتصر بشو وعلى شو، وشو هوي مفاعيل الانتصار يا غبية، وعلى أي ركام سيسيطر، قال انتصار قال,negative
عاجل: تحسن ملحوظ بصحة حسن نصر الله. الله يعطيك الصحة يا سماحة السيد.,امد الله بعمره و زوالكم على يد بن بنت رسول الله ان شاء الله,negative
بخلاف ما يطرحه البعض حول طبيعة الأزمة القائمة، فإن المشكلة الحالية ليست مشكلة صلاحيات بين الرئاسات ولا مشكلة طائفية، إنما صراع مصالح ضيقة ونفوذ وسلطة.,#عاشق_الفشل المشكلة مش بالحقوق المشكلة من يسمي ?? تفضل قلنا من بسمي الوزراء المسيحيين ??,neutral
هل يجرؤ صيصان الثورة على التوجه الى منزل وزير المال غازي وزني برّي والإعتداء على سيارته كما فعلوا بسيارة وزير الإقتصاد راوول نعمة? (يمكن صيصان جعجع، لأن طلعوا هني الثورة 😂😂),و اك عيب هليك بعدك عم تهاجم ادأضعف ليش إنت بتسترجي تنزل تثله لأبو خشبة إنّه بلطجي? أو بتسترجي تنزل عند وفيق صفى أو أحمد الحريري تحكيلهم نتو كذابين? ما فيك يا زمك,negative
حسان دياب بمحبة أقول لك لا يجوز هذا الحقد على كل شيء كرد على استقالتك ترفض التوقيع على تعيين أعضاء مجلس القضاء وتشل القضاء ترفض إصدار قرار بموضوع الترابة فيصبح الطن بثلاثة ملايين . بالله عليك ماذا تفعل? المسألة بحاجة إلى ضمير .,انت عندك ضمير قبل كل هذا لنا في السجون السوريه معتقلين عندك ضمير تطالب فيهن من معلمك او انت من الصف الحادي عشر,negative
قال جعجع: إن مقولة تحصيل حقوق المسيحيين هي الكذبة الجديدة التي يطالعنا بها التيار... الظاهر جعجع لما قال فليحكم الإخوان ما كان قصدو بس الدول العربية، طلع كمان بلبنان 🤣,مقولة تحصيل حقوق المسيحيين كذبة فعلا متل كذبة تحرير فلسطين كلها شعارات تجارية مربحة,no_ref
سابقاً هددونا بالعقوبات إذا أتينا بالسلاح لتحرير الأرض من الصهاينة والتكفيريين. ثم هددونا بالعقوبات إذا أتينا بمواد البناء لإعادة بناء ما هدمه العدوان. والآن يهددونا بالعقوبات إذا أتينا بالبنزين من إيران لوقف إذلال الناس. لكن في كل مرة كنا ندعس عقوباتهم تحت إرادتنا واستقلالنا.,انت الصادق عم ندعس رقابهم مش عقوباتهم,positive
رئيس الحكومة يقوم بمداورة كاملة باستثناء وزارة واحدة هي المالية وكأنّها صارت حقا مكتسبا! هذا وحده كاف ليسقط الطائف، ونحن لا نقبل به,الطاقة عم تبكي بالزاوية و الخارجية كمان و هيلا هو,no_ref
بري: حسب الدستور لا يحق لرئيس الجمهورية بإختيار وزراء حلو كتير، طيب ليش الهراوي ولحود وسليمان كانوا يختاروا وزرا? يعني كنتو عم تخالفوا الدستور طيب بما إنو عم نحكي عن الدستور، خبّرني وين بالدستور مكتوب وزارة المالية للشيعة?,و استيراد النفط والأدوية من إيران بالبيئة لحساب الحزب وهيك بيكونوا استولوا على ميزانية وزارتي الطاقة والصحة بطريقة احتيالية غير مباشرة,no_ref
القاضي فادي عقيقي يُعطي الإذن للعميل جعفر غضبوني بمغادرة لبنان. هذا القاضي يجب أن يُلاحَق,بيلاحقو وبيعطو وسام شرف بالوطنيه وين بعدكن انتو بلبنان,negative
#سمير_جعجع: أهلنا بالتمانينات أودعوا مبالغ مالية كبيرة بالصندوق الوطني لميليشياتك عبر خوّات البنزين والعقارات والمطاعم الخ... فينا نعرف وين هالأموال? اشتريت فين سلاح ? أوك ورجعت بعتو لهالسلاح... ممكن تردّلنا مصريات أهلنا? إذا لا، ما تجيب سيرة أموال المودعين اليوم 😊.,هوديك كانوا ضرايب، يل ذكي، و معروف وين انصرفوا، 😂😂 هلقد داقت فيك الامور,neutral
الكشف عن أسماء عائلات لبنانية في الجنوب على علاقة وطيدة بحزب الله متورطة في عمليات تهريب المخدرات. ما علاقة عائلة #برو من #كفركلا وعائلة #عساف من #رميش وعائلة #نمر من #القليعة والقائمة تطول... تابعوا #الفيديو. انه #جهاد_المخدرات الذي يمارسه حزب الله,سبحان الله يعني عارفينهم بالاسماء و الجنسيات و وين ساكنين، ساكتين عليهم ليه يعني,no_ref
حتى عبارة العيش المشترك هي مفردة تُعبر عن التسوية من قبل الضعيف مع القوي، الأقل مع الأكثر. في المدرستين سرديتين خلقهما الإستعمار لإبقاء سيطرته على المنطقة. هنا من يتوسل التخويف درعاً لحماية مصالحه ضمن الهوية التي تفرضها ثقافة كل مستعمر مستجد، فيصبح كل ما ومن يتناقض معه عدواً.,بس ما تكون مستوهم انو فيك تقنعه بالمنطق والتاريخ. على كل الاحوال مشكور على التوضيح. بضل في ناس بتحب تفهم👍,positive
دمار لبنان سببو خياراتكن من 30 سنة...غرّقتونا بالديْن والفوايد...عطّلتو الإنتاج...فلّستو الشعب...عرقلتو الكهربا...فوّتو الميليشيات عالدولة وموّلتوها من المال العام...تلطيتو ورا الطائفة لتخبّو فشلكن...دمار لبنان لما واحد متلك بيستغل وجع اهلو بطرابلس تا يحرّض ويشعل فتن لمصالحو الشخصية...,صح هم من 30 سنة سرقة ودمار البلد بس أنتم شركاء من سنة 2005 معهم في كل شيء أنتم عجبتو البلد عشان معلمك يوصل الرئاسة وعطلو البلد عشان عيون الصهر هيدا كلام معلمك صح جميعكم بائعين أوهام لا ثقة بكم يعني الأحد منكم شريف جميعكم شركاء في الفساد الطائفي ومحاصصة كلو فساد أنتم شركاء,negative
الفساد في الاردن. مسكين الشعب الاردني مثل الكويتي,حاسد المسكين على وظيفته منت شغال في 3 وظايف والقنوات والموساد بيدفعولك غير حصتك من تعويضات المانيا لجرائم هتلر اللهم لا حسد,negative
هلّق الوسط الفنّي في منّو عا كبير? #طب_عا_صغير ?,ليه ? كتير عاجبك ??. هوي هيك متل ما هوي وما بينحمل,neutral
إذا لم يتم إجراء الانتخابات ونتج عنها أشخاص جدد من خارج المنظومة الفاسدة فلن يكون هنالك أي أمل بالإصلاح ومحاربة الفساد والنهوض بالبلد.  #نهاركم_سعيد,مفكر رح يتغير شي بانتخابات جديدة اوهام هيدا لبنان,neutral
مين ما كان بالمطعم ، سياسيين او مش ، مقاولين او زوجات الببازات بالبلد او مجرد نخبة عايشة برات الكوكب ،شوفوا #بيروت كيف #معتّمة وانتوا عم تبرقوا برق ... بس مش قاهرني الا الي كانت عم بتحاول تغني وانصعقت . #من_الافضل_انك_تحتشمي هوي عارف إنك جميلو ومن حظو قاعدة مقابيلو,انتي عم تحكي بالحشمة !! انتي !! منبع الفتنة و مأجورة بتنشروا ب $$ و بيأمروكم شو تحكو و ايمتا تتنفسوا ! لو في دكان للكرامة كنا اشترينالكم ...,negative
بعرف انك معوّد تتهرّب من الأجوبة بس بحب اسألك ليش ما علّقت على مطالبة جبران باللامركزية الادارية الموسعة وفق الطائف... وبالمناسبة هل انت موافق على كلام بري وممارسات الحريري بضرب صلاحيات رئيس الجمهورية? ع فكرة بتتذكر اوعا خيّك?,ليش تركتو صاحب من غدركم حتى خيك غدرتو في,negative
سلاح الكلمة لهو أسمى بكثير من السلاح التقليدي، لأن فيها تصنع الحقائق وتصبح الحروف المدافع الشرس عن الوقائع - المتحدث العام باسم جيش الدفاع الجديد اتخذ منها درعًا واقعيًا دفاعًا عن إسرائيل,مش متأكدة ايا سلاح استعمل في هذه الافعال...معقول صار هيك من الكلام? النفاق ليس عليه ضريبة,no_ref
عيّنة مما يقاسيه اللبنانيين,وين العزة والكرامة يلي وعدنا فيهم نصرالله,no_ref
ترشيد الدعم والبطاقة التمويلية: هيدا موضوع مرّ عليه اكثر من سنة، وماشي تراشق المسؤوليّات فيه بين الحكومة ومجلس النواب,محاسبة الفاسد وانت الصادق مش تدفيع المواطن تمن الهدر والفساد اللي ارتكبتوه انتو وغيركن بحقو اللي ادّى اولا لتفليس الخزينة والتطاول على المال العام ولاحقا التصرف باموال المودعين وتربيحن جميلة بالبطاقة *الانتخابية*,negative
تسلم العميد ران كوخاف مهمامه كمتحدث عام جديد للجيش الدفاع خلفًا للعميد هيداي زيلبرمان الذي تولى منصب ملحق الدفاع الجديد في الولايات المتحدة.العميد كوخاف شغل مناصب قيادية في المؤسسة العسكرية أخرها قائد منظومة الدفاع الجوي. نتمنى للقائديْن النجاح بالمهمة الكبيرة الملقاة على عاتقهما,الصهاينة يحاولون دق اسفين بين المسلمين كي يضربونهم ببعضهم،، هذا شيعي هذا سني وهذا وهذا وو إلخ على العرب والمسلمين الانتباه لذلك والصهاينة هم اعداء الكل,no_ref
يسألني البعض لماذا أغرّد ضدّ جعجع? ليس لزيادة الشرخ المسيحي، ولا حقداً عليه وإلا ما زرته في معراب، كل ما في الأمر هو لتوعية ذاكرة من نسي أو يتناسى أن كل ما يحصل لنا كمسيحيين هو نتيجة رهانات جعجع الفاشلة منذ سيطر على القوات وحتى اليوم... #منتهية,ياعفو الله 👍🏻 احلى معلم شربل 😘,positive
الرئيس عون عرض مع الوزيرة عكر الصعوبات التي تواجه النقل بين لبنان وسوريا، والمستحقات العائدة للهيئات الضامنة، وعملية استيراد الدواء,كيف الزمبابوي فخامتك إتق الله و استقيل لن تأخذ معك سوى أعمالك,negative
ادعموا القضية يا عرب.,(وَلَقَدْ عَلِمْتُمُ الَّذِينَ اعْتَدَوْا مِنْكُمْ فِي السَّبْتِ فَقُلْنَا لَهُمْ كُونُوا قِرَدَةً خَاسِئِينَ ـ سورة البقرة 65).,no_ref
اصدقائي المحترمين، بخصوص تغريدتي مبارح عن احداث طرابلس حللها البعض وكأنها تبرير اطلاق النار على الجيش علماً انني استنكرت ! هذا الكلام مش مقبول ومش أنا يلي بيقبل أي تعدّي على الجيش اللبناني ويا ريت منفكّر بمنطق قبل التعليق العشوائي.,انت متل ما منعرفك انسان وطني ومحترم وما حدا بشكك بحبك وغيرتك عوطنك. وكل حدا متلك رح يفهم رأيك بإيجابية. اخ جو الك منا كل الاحترام🙏🙏,positive
احمدي نجاد يعترف. الم اقل لكم بان النظام الإيراني مخترق حتى النخاع?,😹😹 عن اي اختراق تتحدث يهود اصفهان اخوالك .,neutral
انقاذاً للوضع معليش لا بدّ من تسوية عادلة بين الجميع طالما في لبنان لا أحد يستطيع الغاء أحد وبانتظار الانتخابات المقبلة ! صباحو 🙂,صباح الخير و التفاؤل🙌🏻😃,positive
لم أشارك بجلسة إقرار البطاقة التمويلية التي تحمل أهدافاً انتخابية بحتة ولا تسعى لخدمة المواطن. فلتفرج المصارف ومصرف لبنان عن أموال صغار المودعين بدل أن تحمل خزينة الدولة ديوناً إضافية. لا أرى بوادر انفراج حكومية فرموز الطبقة الفاسدة اتفقت على عرقلة التشكيل خدمة لمصالحها,بطاقة الضحك ع الدقون و هني عميضحكوا علينا و شو ما عملوا صورتن سودا سودا ⬛,no_ref
أيها الفاجر ما تفَكّر المهذب يعني جبان كل ما في بالأمر انّو المهذب ما بينزل لمستواك🙂,إنت كبير إستاذ جو 👏,positive
هل سيتجرا ملك الاردن على اعتقال النائب المفصول اسامة العجارمة?,ما الك علاقه يا اهبل,negative
منظمة اجنبية محايدة تكشف اكاذيب مراسلة الجزيرة وتفضحها جيفارا تزعم بانها كسرت يدها. الكذب والتضليل بيضحكوا عليكم يا عرب,يعني تهدموا بيوت وتقتلوا اطفال وتعتقلوا نساء ومستكثر عل جفيفار الكسر كسرت بذلك ياكوهين كل الاعراف الدوليه والتاريخيه والانسانيه,negative
تحية الى والد تلك الرعناء التي أفرغت ما في داخلها من حقد وانحطاط ضدّ النائب باسيل في البترون. حتى آباؤهم يخجلون بهم...فأتى يعتذر من باسيل. لو قام كل الأهل بواجبهم ولجموا أولادهم، لما كان لبنان شهد أكبر ثورة انحطاط في العالم على مرّ التاريخ...,أحترامي لكل الاباء الا بيك الخرا لي لو حابو على الشرشف كان احسن #يا_زمك,negative
صحفي يكشف عن الانفجارات الغامضة التي تحصل في طهران.,نسأل العزيز القدير وبأسمه الأعظم ان يزيد ايران من المحق والسحق والفتق والرتق والانفجارات في عقر بيوتهم النجسه والتدهور الشامل السريع نظير جرائمهم في حق الأبرياء,no_ref
شبيحة محمود عباس الذي قمعوا المظاهرة وسط رام الله,حثاله بشريه وسماهم على وجوههم,no_ref
#أحقر_إنسان: هو مَن يتخلّى عنك من أجل كمشة مال... هو من تعمّر له كوخاً فيقفل بابه بوجهك... هو من تهتم بوردته لتزهر فيطعمك شوكاتها. #ما_تشلح_حدا_من_إجرك,هل تخلى عنك سمير صفير?,neutral
النائب فيصل كرامي بعد لقائه رئيس الجمهورية: المخرج الوحيد لكل المشاكل يبدأ بتشكيل حكومة وندعو لجلوس المعنيين مع بعضهم البعض حتى الخروج بحكومة ترضي الناس والشعب,يا بدك ترضي الناس يا بدك ترضي الشعب لكن ترضي الاثنين معاً صعبة شوية!! فكر فيها 😄,neutral
دائماً قولوا لعلّه خيراً وتذكروا انه لن يصيبنا إلا ما كتب الله لنا ... #ehden #لبنان_الحلو🇱🇧❤️,مساء الورد والياسمين على عيونك,positive
لا يمكن الاستمرار في هذه الحالة الانتظارية من قبل بعض المسؤولين وحالة البلاد تتراجع في كل يوم في غياب الحكومة .آن الاوان لجعل التسوية فوق كل اعتبار بعيدا عن الحسابات الشخصية الضيقة .ان مبدأ التسوية ليس بدعة بل اساس في الحياة وفي السياسة ،وتذكروا ان الحقد يقتل صاحبه اولا,بل تسوية لمصلحة السلطة و احزابها على حساب الشعب.,no_ref
فجر السعيد تجلد الاخوان,تمثل نفسها وهي امراة عجوزة مستعدة ترضع رضاعة طبيعية لليهود,no_ref
عاجل: تجمع مثليين يهود وعرب مناهض لإسرائيل برعاية حزب عربي في الداخل.,هاي صوره البترا في الاردن لعنه الله عليك ما اكذبك وما اوسخك صحفي كذاب وساقط,negative
معارض قطري يجلد قطر,اي خزي و عار انتم فيه يا اشباه الرجال ، حالتكم فطيسه كسيفه,negative
وزير الصحة: وضعت فخامة الرئيس في أجواء زيارتي الى تركيا واستعدادها لمساعدة لبنان على تأمين أدوية الامراض المستعصية والمزمنة غير المتوافرة في لبنان نتيجة عدم تسليم بعض الشركات لبعض الأصناف الضرورية,ميشال عون الرئيس الشحاذ,no_ref
انا اليوم بدّي استعين بصديق هو سماحة السيد حسن نصر الله، لا بل اكثر، اريده حكما وأئتمنه على الموضوع... انا لا اسلّم أمري ومن امثّل الى السيّد حسن بل ائتمنه على الحقوق. هو بيعرف انّو نحنا مستهدفين، وكل شي عم يصير هو للنيل منا، ويعرف اننا تنازلنا بموضوع الحكومة عن كتير من الأمور,اذا انت بتأمن السيد حسن نصرالله على الحقوق،ليش ما بترضى وبتقبل انو السيد حسن يسمي الوزيرين المسيحيين??,neutral
لا حول ولا قوة الا بالله,اي على اساس انتم فطاحل كافي نفخ...,neutral
أراد لبنان وطناً سيداً حراً مستقلاً معززاً مزدهراً، فحاربوه,... وبدون فساد فحاربوه,no_ref
نحن مع تأليف الحكومة بسرعة برئاسة الرئيس سعد الحريري فهذا الخيار نحن ملزمون به بالدستور ونتمنى حصول مبادرة سريعة بأخذ الخطوات اللازمة لأن الاهم هو موضوع الاصلاحات,حان وقت يجرك من رقبتك وتتحاكم يا لص وباليخت تبعك ما تهرب 😂,negative
يلّي عم بنادي بالفدرالية واذا قصدو التقوقع على الذات يشرّف يمارسها ببيته... لبنان بكل مناطقه هو لكل أبنائه🇱🇧وصباح الخير♥️,يسلم تمك صباح النور ☀️,positive
بدل الملل اللي احنا فيه ريتويت و هتكلم عنك انا و 3 انونات قمرات🔥,طب انت متجوز عاوز ايه بقا مشفاهم انا😂😂,neutral
صوروني صوروني دخيلكم عايز مصاري,كل شي توقع منهم 😂🤣,no_ref
ناجي العريفي اسم لامع بقلم لطالما خط الحقيقة وسطر الواقع داعيًا إلى التعايش والسلام في زمن كثرت فيه التحريض ومحاولات الفتن فكان مثال الإنسان الجريء الذي ينتفض للعدل مهما كانت الأراء وكم شرفني أن التقي هذا الرجل في وطني إسرائيل فحللت أهلًا ووطئت سهلًا يا صديقي العزيز,أي حقيقة وأي سلام اسمح لى ان ابكى ودموعى تنهمر ياافيكاي على كل حرف قرأت وتلفظته بفمك من القران الكريم وهجرته وتنسيت حكمه وفضله واستشهدك به فلم لا لم تعد تقرأ ... اللهم انى بلغت اللهم فأشهد,negative
رئيس الجمهورية تجاوب مع ارادة مجلس النواب وتم تكليف الرئيس الحريري بتشكيل الحكومة بقرار صادر عنه بعد التغاضي عن الكثير من الاساءات والتعرض للرئاسة ولشخص الرئيس والصلاحيات... كل ذلك في سبيل تسهيل تشكيل الحكومة على الرغم من محاولة ابتكار اعراف دستورية جديدة,حرب كونية جديدة على ميشال عون كلنا معك فخامة الرئيس #عون_هزّ_مسمار_الفاسدين,positive
نقول لكم ان رئيس الجمهورية سيوقّع، ونحن لن نأخد وزراء لنا، وانتم ستأخذون ثقة المجلس من دوننا، ونحن نقبل ولا نمنع الحكومة... لكنكم تقولون: غصب عنكم بدّنا ثقتكم لنغطّسكم ونحملّكم مسؤولية وتسبّكم الناس,انت واحد كذاب انت بدك وزارة العدل والداخلية كرمال تكون صناديق ولجان الانتخابات تحت ايدك عن طريق عمك عم تطلب كل شي انت لما تكذب عالناس شو بتحس مرض بس هو,negative
مبروك الفوز الكاسح للمنتفضين في نقابة المحامين ومبروك للنقيب الحلم ملحم خلف...آه عفوا، في نقابة المهندسين!! #عشنا_وشفنا,يللي صار بنتائج نقابة المهندسين في نقابة المحامين دليل على انكم اصبحتم من التاريخ و هذا دليل على كره الناس لكم و بلا هضمنه,negative
الامارات تهنىء رئيس الحكومة الإسرائيلية الجديدة نفتالي بينيت,الامارات. طار ترامب وطار نتنياهو وفيه ثالث بيطير😂,no_ref
من هو اول رئيس عربي سيبارك رئيس الحكومة الإسرائيلية الجديدة?,محمود عباس واردوغان,no_ref
صباح الخير للزهقانين من الحياة فقط ❤️🌸,الحياة زهقانة مني بس يلا معلش. يسعد صباحك🌸💙💙,positive
معلومات تاريخية عامة للجمهور العربي: الأخت بولا عملت لعشرات السنوات كمذيعة في تلفزيون المنظومة الإقتصادية التي أسست النظام الإقتصادي الريعي الوهمي المدمر للبلد بعيداً عن الإقتصاد الإنتاجي، ثم أصبحت بعد انهيار البلد معارِضة للمنظومة وتحاضر بالتغيير والنضال الثوري.,كذابة او دجالة او بياعة كلام من يوم يومها هل سألت حالها شي يوم كيف اجت نائبة,no_ref
أدعو وزير الصحة إلى إيقاف الوحش الذي يحمل شهادة طبيب والذي قام بضرب المريضة التي تبحث عن ثمن قطع لا تغطيها الوزارة داخل عيادته . علوش من فصيلة الوحوش إطردوه.,يا زلمي نسيت كيف هجمت على المراسلة متل الوحش بعقر دارك ?? ما تلعب دور الطفل البريء,negative
هل القضية الفلسطينية خسرت من اهميتها على اثر المتاجرة بها ونكران جميل اصحابها?,لم خسرت ولن تخسر لانها ليست قضية فلسطينية فقط وانما قضية عقيدة لكل مسلم حر,no_ref
قُبلةُ ما قبل الاعتذار?! والبورصة تسير كالآتي: سعر صرف الدولار ↖️↖️↖️ قطع الطرقات↖️↖️↖️ لبنان↙️↙️,سعادة المفتي مذبل عيونو كمان,no_ref
سحل متظاهر على الارض وضربه والاعتداء عليه من قبل ميليشيات السلطة في رام الله,ملة عاطلة نجسة ينعن أبوهن هالكم شيكل اللي تخليك تعمل هيك بابن بلدك!,no_ref
رَبَّنَا اكْشِفْ عَنَّا العذاب إِنَّا مُؤْمِنُونَ ،،. #جمعة_مباركة,اللهم امين جمعة طيبة مباركة🍃,neutral
شوفو كيف كلب الأثر بصور في المسيرة اليوم في رام الله وبضحك مناديب مرتزقة,شكله ضارب كمية محترمة من المخدرات ليلتها...,no_ref
الرئيس عون دعا الى إجتماع للمجلس الأعلى للدفاع يوم غد الثلاثاء في قصر بعبدا للبحث في الأوضاع الأمنية في البلاد والتطورات الأخيرة,يا رب شي يوم نصبح بدونك...,negative
طالما العالم لا يريد الفوضى في لبنان يصبح دعم الجيش والمؤسسات الأمنية ضرورياً . ندعو الدول الخليجية للمشاركة في دعم الجيش وفصل هذا الملف عن العلاقة مع الدولة ليعالج هذا الأمر لاحقاً . دعم الجيش هو الضمانة للإستقرار.,انوا حكيت وتفلسفة علينا,negative
في أي حال، لا بد ان يدرك دولة الرئيس بري وغيره، ان رئيس الجمهورية يسعى بكل قوة الى حل للازمة الحكومية التي افتعلتها ممارسات باتت معروفة عند الجميع، وعقّدتها رغبات في تهميش دور رئيس الجمهورية والحد من صلاحياته ومسؤولياته، ولعل البيان الذي صدر اليوم خير دليل على ذلك,ما حدا غيرك حامل همنا 🙏,positive
التقيت السفيرة الفرنسية آن غريو وكانت مناسبة لشكر #فرنسا لوقوفها الدائم جانب #لبنان وشعبه. حذرت من الدلع السياسي ودعوت للمسارعة بتشكيل حكومة إنقاذية من مستقلين خصوصاً أن الطبقة السياسية حالت دون نجاح المبادرة الفرنسية التي طالبت بتشكيل حكومة إصلاحات تعيد ثقة المجتمع الدولي ببلدنا,سألتها عن جورج عبدالله ? جورج عبدالله مواطن لبناني معتقل سياسياً في فرنسا ، جورج عبدالله إنتهت محكوميته منذ عشرون عام ولا يزال في السجن ، حبيت ذكرك,neutral
